Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,7/10/16,8.4,Park Grand London Kensington, Kazakhstan , We were allocated 2 rooms in the basement without windows I am surprised that this kind of rooms even exist After discussing the unstuitability of this with the very rude receptionist they gave us rooms one floor higher but in the very end of the corridor claimimg it was an upgrade this was after we explained that my husband has a heart condition so he can not stay in a room without windows Rooms are tiny and of very poor standard ,83,4660,No Positive,0,1,4.2,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",389 day,51.4938468,-0.1917582
33 avenue de Friedland 8th arr 75008 Paris France,146,10/17/16,7.9,Royal Hotel Champs Elys es, Kazakhstan , wi fi small reception,5,983, location breakfast room,4,4,7.5,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 4 nights ']",290 day,48.8740463,2.300196
33 avenue de Friedland 8th arr 75008 Paris France,146,2/23/16,7.9,Royal Hotel Champs Elys es, Kazakhstan , Breakfast is way too expensive Walk 5 mins to Pret and save half the price ,17,983, Amazing location ,4,4,9.2,"[' Leisure trip ', ' Group ', ' Superior Double Room with 1 extra bed ', ' Stayed 5 nights ']",527 day,48.8740463,2.300196
33 rue Marbeuf 8th arr 75008 Paris France,72,12/27/15,8.5,Hotel Oscar, Kazakhstan ,No Negative,0,408, Very helpful staff and great location to the Champs lys es and Metro There was a supermarket next door and a Kitchenette with coffee machines ,27,11,10.0,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",585 day,48.8694755,2.3046954
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,3/7/17,7.9,Norfolk Towers Paddington, Kazakhstan , Reception works very slowly I ve been waiting for 10 minutes while just one receptionist have been talking However all staff are very professional and politely My room was very little in comparison with average rooms in London Last one corridor was very tight so tightly that I hardly go through it with baby carriage,56,4065, Location and facilities perfect Furniture perfect and climate control too all staff are very professional and politely ,19,3,7.9,"[' Leisure trip ', ' Family with young children ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",149 day,51.5162883,-0.1721078
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,5/14/17,7.9,Norfolk Towers Paddington, Kazakhstan , staff is terrible and some of them are arrogant ,11,4065, breakfast and bed,4,2,5.4,"[' Business trip ', ' Couple ', ' Club Double Room ', ' Stayed 4 nights ']",81 days,51.5162883,-0.1721078
35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,4/27/17,9.1,The Chesterfield Mayfair, Kazakhstan ,No Negative,0,1166, Everything is perfect as always location friendly welcoming staff attention to each details Strongly recommend this really english hotel ,21,4,10.0,"[' Business trip ', ' Solo traveler ', ' Classic King Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",98 days,51.5076899,-0.1471358
35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,11/26/15,9.1,The Chesterfield Mayfair, Kazakhstan ,No Negative,0,1166, Perfect in all respects Delicious breakfast ,8,2,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ']",616 day,51.5076899,-0.1471358
35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,235,4/2/16,8.2,My Chelsea, Kazakhstan ,No Negative,0,1003, Hotel had problems with Internet And they compensated that I used external provider Really customer oriented staff ,19,1,7.5,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",488 day,51.4919083,-0.1684398
35 Rue Caumartin 9th arr 75009 Paris France,211,4/5/17,8.9,Hotel Saint Petersbourg Opera, Kazakhstan , Bad wifi in room was not possible check email and surf in internet Bad breakfast It was stated breakfast abailable till 11 But at 9 30 everything was empty So little for 15 ,35,2412, Good location friendly staff ,6,3,6.7,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",120 day,48.872174,2.328075
350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,252,11/28/16,8.1,Radisson Blu Edwardian Berkshire, Kazakhstan , Dirty glass in my room with leftover wine and lipstick Cleaning should be better They do not tidy up your stuff Like cosmetics in the bathroom if it islaying all over you will find them exaclty in this position Furniture is very old ,45,1600,No Positive,0,23,6.7,"[' Business trip ', ' Solo traveler ', ' Standard Double Twin Room ', ' Stayed 3 nights ']",248 day,51.5146025,-0.1481978
350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,252,3/4/16,8.1,Radisson Blu Edwardian Berkshire, Kazakhstan , the smell in the corridor barman is a bit rude,11,1600, The location was the best in my opinion because it was right on oxford street the main attraction for tourists and in reachable distance t there places like the oxford circus the experience of staying in Radison was greatly enhanced by the staff especially the concierge that would always be friendly and kind and help with the tickets booking which made the stay much more enjoyable,67,1,7.1,"[' Leisure trip ', ' Family with young children ', ' Standard Double Twin Room ', ' Stayed 3 nights ']",517 day,51.5146025,-0.1481978
350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,252,7/3/17,8.1,Radisson Blu Edwardian Berkshire, Kazakhstan , a bit too expensive,5,1600, very central,3,15,7.1,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']",31 days,51.5146025,-0.1481978
350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,252,1/9/17,8.1,Radisson Blu Edwardian Berkshire, Kazakhstan , The room was small and low temperature in the room ,12,1600,No Positive,0,2,6.3,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",206 day,51.5146025,-0.1481978
36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,322,10/13/16,8.4,Arbor Hyde Park, Kazakhstan , Not as clean as described in other reviews,9,2140, Snacks for taking away Quiet and nice location,9,8,6.7,"[' Business trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 4 nights ']",294 day,51.5126488,-0.1803795
368 370 Green Lanes London N4 1DA United Kingdom,100,7/22/16,7.5,United Lodge Hotel and Apartments, Kazakhstan , Everything,2,714, Disrespectful staff no hot water smells in the room no windows in the room poor value for money,19,5,2.5,"[' Leisure trip ', ' Family with young children ', ' Family Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",377 day,51.5743549,-0.0977567
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,1/15/17,8.1,Strand Palace Hotel, Kazakhstan ,No Negative,0,9568, Close to the theatre,5,3,8.8,"[' Leisure trip ', ' Family with young children ', ' Standard King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",200 day,51.5110993,-0.1208673
4 Rue De Valois 1st arr 75001 Paris France,119,3/25/17,9.2,Grand H tel Du Palais Royal, Kazakhstan , The hotel was not the one I expected The size of the room was too small it lacked a tea coffee machine which is the norm in all 5 star hotels It didnt have a stand where one should put luggage Not enough space in the wardrobe and access is limited the fitness center about which there is a long list in booking com description is a 10 m2 space with four pieces of equipment This is a small boutique hotel not the Grand Hotel of Royals as the name suggests and exxagerated marketing works the other way once you are there ,104,704, The staff were helpfull ,6,2,5.4,"[' Business trip ', ' Couple ', ' Superior Room ', ' Stayed 3 nights ']",131 day,48.8630829,2.3378592
4 Rue De Valois 1st arr 75001 Paris France,119,8/16/15,9.2,Grand H tel Du Palais Royal, Kazakhstan ,No Negative,0,704, great location great stuff excellent breakfast was very happy with this hotel,13,4,10.0,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",718 day,48.8630829,2.3378592
40 avenue de Friedland 8th arr 75008 Paris France,183,11/7/15,8.5,Napoleon Paris, Kazakhstan ,No Negative,0,1144, Everything was just great,5,4,8.8,"[' Business trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",635 day,48.8743885,2.2980915
40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,12/12/16,7.9,H tel Concorde Montparnasse, Kazakhstan , Saturday was the very busiest day for breakfast not enough staff on duty meant long ques ,18,2515, Very good location and wonderful service from everyone on the front desk Breakfast must be the best in Paris,20,11,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",234 day,48.8381079,2.318669
40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,12/12/16,7.9,H tel Concorde Montparnasse, Kazakhstan , Saturday was the very busiest day for breakfast not enough staff on duty meant long ques ,18,2515, Very good location and wonderful service from everyone on the front desk Breakfast must be the best in Paris,20,11,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",234 day,48.8381079,2.318669
40 trinity square City of London London EC3N 4DJ United Kingdom,832,2/28/17,9.1,citizenM Tower of London, Kazakhstan , Tiny room but very well organised thus very comfortable ,11,4672, Very modern hotel with in no way trivial approach to any matter I liked moody signs on different items in the room Good breakfast Possibility to have lunch or dinner for a reasonable price Excellent location next door to the tube station Very nice and helpful staff I got the room with a fantastic view to the Tower of London ,62,8,9.6,"[' Business trip ', ' Group ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",156 day,51.510237,-0.0764428
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,3/14/17,8.7,St James Court A Taj Hotel London, Kazakhstan ,No Negative,0,5394, I really liked the location It s the city center It s also close to the bus stop or the station The hotel is big the staff is really nice and friendly Breakfast was great I also liked that the room is spacious enough we could have tea in the room The only minus is that our room was on the 2nd floor and basically we could not see anything from the window it was half open Though I would definitely recommend the hotel and will come back here if I m in London ,96,2,8.8,"[' Business trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 3 nights ']",142 day,51.4986732,-0.1376867
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,8/31/16,8.7,St James Court A Taj Hotel London, Kazakhstan , Some facilities are old and need replacement or repair ,11,5394, Location is the best for city tour with children most of the attraction in walking distance Also railway station and subway is very close ,26,23,7.1,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 7 nights ']",337 day,51.4986732,-0.1376867
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,1/15/16,8.7,St James Court A Taj Hotel London, Kazakhstan ,No Negative,0,5394, Location is very convenient hotel is very close to historical places I am very grateful to the hotel staff and want to express special thanks to Janet and Michelle for their help in getting my money back which I forgot in the safe when leaving the hotel I would recomend this hotel to everyone who travel to London I wish prosperity to the St James Court A Taj Hotel ,71,7,8.8,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ']",566 day,51.4986732,-0.1376867
5 rue de Berri 8th arr 75008 Paris France,329,1/10/16,8.1,Warwick Paris Former Warwick Champs Elysees , Kazakhstan , Service breakfast,3,1813, Location,2,56,7.1,"[' Leisure trip ', ' Family with older children ', ' Deluxe King Room ', ' Stayed 3 nights ']",571 day,48.8722019,2.3030866
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,1/6/17,6.7,Commodore Hotel, Kazakhstan , Poor breakfast Poor staff in the reasturant ,9,2400, Good location Old building ,6,6,7.5,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 14 nights ', ' Submitted from a mobile device ']",209 day,51.5124496,-0.1795215
51 57 rue de Courcelles 8th arr 75008 Paris France,272,9/6/16,8.1,Hotel du Collectionneur Arc de Triomphe, Kazakhstan , Guest relations manager is absolutely destructive,7,1652, Concierge was helpful,4,29,6.3,"[' Leisure trip ', ' Family with young children ', ' Superior King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",331 day,48.8769204,2.3069132
52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,545,3/4/16,8.0,Shaftesbury Hyde Park International, Kazakhstan , Bed could have been a bit more comfy ,10,2907, Great location of the hotel clean and spacious bathroom Helpful and friendly staff,14,16,7.5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 10 nights ']",517 day,51.5123968,-0.186124
52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,12/15/15,8.8,The Montcalm At Brewery London City, Kazakhstan , Small rooms Not the best location almost on the border of the city london The hotel looks like a luxury motel,22,2617, Helpful staff wifi is ok soft bed alot of light in the room Barbican underground station is 6 min walking Kings cross is 2 stations away Tesco express and cash machine are near,34,18,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",597 day,51.5208155,-0.0915319
55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,791,9/22/15,7.3,Shaftesbury Premier London Paddington, Kazakhstan , Location,2,3609,No Positive,0,1,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",681 day,51.5153672,-0.1783271
6 8 Rue Duphot 1st arr 75001 Paris France,109,3/24/16,9.1,Le Burgundy Paris, Kazakhstan , We have stayed in this hotel about 3 years ago and it was much better then than now ,20,683, the location is excellent Breakfast selection is small but high quality ,13,6,7.9,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 4 nights ']",497 day,48.8680055,2.3260075
6 8 Rue Duphot 1st arr 75001 Paris France,109,7/13/17,9.1,Le Burgundy Paris, Kazakhstan ,No Negative,0,683, have been staying here for last 3 years great service great welcome treats courtyard inside where you can enjoy your morning breakfast ,24,23,9.6,"[' Business trip ', ' Solo traveler ', ' Deluxe Room ', ' Stayed 1 night ']",21 days,48.8680055,2.3260075
6 rue Balzac 8th arr 75008 Paris France,117,7/3/17,8.3,H tel Balzac, Kazakhstan , Not very close to the airport so manage your time before getting there and very far from the city center,21,694, A good place to sleep over you have an early flight clean rooms friendly stuff Macdonalds and a busstop just a few meters away,25,1,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",31 days,48.8732785,2.3004174
6 Rue De La Tour 16th arr 75016 Paris France,74,6/20/16,8.7,Hotel Maison FL, Kazakhstan , The staff wasn t as helpfull and polite as 4 star hotel would expect them to be ,19,417, Modern comfortable stay for a couple of days during the business trip Good gym and breakfast close to main attractions nice area around ,25,11,8.3,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ']",409 day,48.8396395,2.2663056
6 Rue De La Tour 16th arr 75016 Paris France,74,5/10/17,8.7,Hotel Maison FL, Kazakhstan , Laundry service they don t have it and have few irons,12,417, Cell phones in room which you can take with you ,12,1,6.7,"[' Business trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 5 nights ']",85 days,48.8396395,2.2663056
626 Chiswick High St Chiswick London W4 5RY United Kingdom,562,5/3/17,8.5,Clayton Hotel Chiswick, Kazakhstan , Breakfast was not included I did not have a chance to grade it ,15,1944, Big clean room silence outside the window professinal staff Bus stop on the main Chiswick road near the hotel with many routes Gunnersbury tube station at 200 300 metres to the left ,34,2,9.6,"[' Business trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 7 nights ']",92 days,51.4924184,-0.2784701
628 Western Avenue London W3 0TA United Kingdom,131,7/18/17,8.9,Park Plaza London Park Royal, Kazakhstan ,No Negative,0,425, Service Food and perfect location,6,11,10.0,"[' Business trip ', ' Solo traveler ', ' Superior King Room ', ' Stayed 5 nights ']",16 days,51.527262,-0.282992
65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,531,2/20/16,9.0,The Piccadilly London West End, Kazakhstan , Poor sound isolation from neighboring rooms not a problem if you re out wondering the streets of London the rooms are smaller than shown in pictures The door handles need to be checked as they can start signaling ,40,2298, The room temperature is adjustable very warm during winter Variety of breakfast choice Clean cosy very courteous and helpful staff and hotel management ,25,8,8.8,"[' Leisure trip ', ' Solo traveler ', ' Premier Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",530 day,51.5121957,-0.1318384
66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,377,11/9/15,8.5,Kingsway Hall Hotel, Kazakhstan , They charge exra for everything even for adaptar Food during a breakfast was poor too ,17,1363, Location,2,1,5.8,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",633 day,51.5158643,-0.1200625
68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,514,11/26/15,8.2,Radisson Blu Edwardian Vanderbilt, Kazakhstan , Room was small No slippers and bathrobe ,9,2665, Very close to Gloucester Road Station Picadilly line goes to Heathrow terminals Close to Science Museum and Natural History Museum ,22,5,7.5,"[' Business trip ', ' Group ', ' Superior Single Room ', ' Stayed 2 nights ']",616 day,51.4953691,-0.1818966
68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,514,12/13/16,8.2,Radisson Blu Edwardian Vanderbilt, Kazakhstan ,No Negative,0,2665, My room was after redecoration So it was good,10,11,7.1,"[' Business trip ', ' Solo traveler ', ' Business Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",233 day,51.4953691,-0.1818966
68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,514,1/10/16,8.2,Radisson Blu Edwardian Vanderbilt, Kazakhstan , Small room,3,2665, Location,2,17,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",571 day,51.4953691,-0.1818966
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,8/30/15,8.7,DoubleTree by Hilton Hotel London Tower of London, Kazakhstan , Room cleaning time reception is busy,7,7491, Breakfast,2,1,6.7,"[' Business trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",704 day,51.5108412,-0.0780581
7 rue Cl ment Marot 8th arr 75008 Paris France,79,7/11/17,8.8,Hotel West End, Kazakhstan , We had a problem with our closet It didn t close and open properly We couldn t reach it easily We called the staff they said they fixed it but it didn t look like In the end of our stay manager told us that they cannot repair it It was annoying all the time we wanted to get out closes from wardrobe In the end my friend didn t take her cosmetics as it was hidden under the doors which we couldn t open,86,452, Location In first day lady manager met us She was so nice and tried to help us with everything we asked ,23,7,5.4,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",23 days,48.8671391,2.3038447
75 Gower Street Camden London WC1E 6HJ United Kingdom,369,8/4/15,6.4,Hotel Cavendish, Kazakhstan , Except location this hotel is not a good place to stay breakfast was poor staff was unprofessional rooms are very narrow and not very clean internet was very weak all equipment bedclothes etc are very old The floors are very weak and make a lot of noise when walk and you can hear any moves of your neighbors ,60,2275,No Positive,0,14,2.9,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",730 day,51.5220522,-0.132414
79 81 avenue du Maine 14th arr 75014 Paris France,201,9/26/15,7.5,Holiday Inn Paris Gare Montparnasse, Kazakhstan , Nothing,2,3228, The staff at reception the most helpful in more than 20 visits to Paris so efficient and welcoming ,20,11,9.6,"[' Leisure trip ', ' Couple ', ' Executive King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",677 day,48.8382916,2.3230188
8 10 Queensberry Place Kensington and Chelsea London SW7 2EA United Kingdom,388,1/12/17,8.4,The Exhibitionist Hotel, Kazakhstan , As always there is an issue with space in London old Europe hard to have good space and nice equipped hotel But I have to say this hotel was a good choice ,34,1708, Welcoming reception and crowd of nice people due to exhibition going on in the lobby My room was a different one than ussual in London it has enough space to have a shower and walk for a few steps in the room ,44,26,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Double Room with Balcony ', ' Stayed 4 nights ']",203 day,51.4947754,-0.177789
8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,602,9/1/15,8.5,Club Quarters Hotel Trafalgar Square, Kazakhstan , Can hear neighbours Noise during the night from the conditioning system ,13,2494, Good location a few minutes walk to the most of the sights Nice and friendly staff ,18,15,7.9,"[' Leisure trip ', ' Solo traveler ', ' Standard Queen Room ', ' Stayed 3 nights ']",702 day,51.506935,-0.126012
8 rue Chambiges 8th arr 75008 Paris France,122,3/28/17,8.9,Chambiges Elys es, Kazakhstan , Wifi was slow and not always working ,9,858, It s a great hotel in a very beautiful neighbourhood We absolutely loved it ,16,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 6 nights ']",128 day,48.8668048,2.3039465
8 rue Chambiges 8th arr 75008 Paris France,122,11/17/16,8.9,Chambiges Elys es, Kazakhstan ,No Negative,0,858, Tasty breakfasts and a great location Somewhat girlish styled bedrooms but very comfy and charming ,17,2,8.8,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",259 day,48.8668048,2.3039465
9 Rue De Li ge 9th arr 75009 Paris France,74,2/28/16,8.7,Best Western Premier Op ra Li ge, Kazakhstan , Breakfast is always the same However everything is fresh and tasty Bed is a little bit soft my personal preference ,22,641, Clean and cozy rooms Coffee machine is a good option When I asked I have been provided with an extra towel Very good personnel ,26,3,9.6,"[' Business trip ', ' Couple ', ' Executive Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",522 day,48.8795947,2.3280695
92 Rue La Boetie 8th arr 75008 Paris France,88,11/30/16,8.5,Rochester Champs Elysees, Kazakhstan , 1 Bed is too short If you are taller than 180 it s surely better not to book here I m 185 and my feet hung down Not comfortable 2 Door and window noise isolation is poor So it s often noisy at night even though the streets around are quite narrow and you hear well doors closing on the floor,62,570, 1 In the very city center All the main tourist attractions are really close 2 Clean 3 Quite a pleasant interior,22,26,7.1,"[' Business trip ', ' Solo traveler ', ' Classic Room ', ' Stayed 4 nights ']",246 day,48.8724945,2.3091549
97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,854,1/9/17,7.8,Holiday Inn London Kensington Forum, Kazakhstan , Electricity was down for four hours while I was staying in the room ,15,3867, Good Location ,4,1,7.1,"[' Business trip ', ' Solo traveler ', ' Double Room Non Smoking ', ' Stayed 3 nights ']",206 day,51.4942305,-0.1851141
97 rue La Bo tie 8th arr 75008 Paris France,54,12/4/16,8.7,H tel Monna Lisa Champs Elys es, Kazakhstan ,No Negative,0,418, Location of the hotel is perfect Staff is very friendly and rooms are very clean they have everything in room I really enjoy to stay in this hotel ,30,13,10.0,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",242 day,48.874853,2.3245798
Albany Street London NW1 3UP United Kingdom,354,8/23/15,8.3,Melia White House Hotel, Kazakhstan , Layout of bathrooms ,5,1871, Smell in the lobby is great ,8,1,7.1,"[' Leisure trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",711 day,51.5298597,-0.1444623
Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,125,3/15/16,8.6,Hotel Am Konzerthaus Vienna MGallery by Sofitel, Kazakhstan ,No Negative,0,1307, Excellent location friendly staff clean room,7,4,7.9,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 2 nights ']",506 day,48.1996129,16.3773546
Am Hof 2 01 Innere Stadt 1010 Vienna Austria,82,10/30/15,9.3,Park Hyatt Vienna, Kazakhstan , Price ,3,532, Very good location and amazing building ,8,3,9.6,"[' Leisure trip ', ' Couple ', ' Park Studio King ', ' Stayed 3 nights ']",643 day,48.2105243,16.3683592
Apollolaan 101 105 Oud Zuid 1077 AN Amsterdam Netherlands,57,2/21/16,7.5,Best Western Delphi Hotel, Kazakhstan , They are under constant renovation so it can be noisy in the day ,15,372, I was robbed in Amsterdam and the hotel staff took care of me very well and were very understanding,20,5,8.3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']",529 day,52.3504558,4.8770194
Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,612,2/3/17,8.6,Urban Lodge Hotel, Kazakhstan ,No Negative,0,5018, The interior and a cosy place with real fire was amazing Also we enjoyed free coffe and tea really feel like you are welcomed by a friend ,29,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Basic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",181 day,52.3856494,4.834443
Aspernbr ckengasse 1 02 Leopoldstadt 1020 Vienna Austria,160,3/10/16,8.1,Novotel Wien City, Kazakhstan , Hair in the bed when we just arrived small toilet with crazily heavy door,15,1632, Nothing in particular,4,1,4.2,"[' Business trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",511 day,48.2134246,16.3831309
Auerspergstra e 9 08 Josefstadt 1080 Vienna Austria,207,3/22/17,8.4,The Levante Parliament A Design Hotel, Kazakhstan , there was an issue with the door to the bathroom that did not closed opened properly but it is not critical ,23,1958, location is just perfect staff is super friendly we asked to bring the cattle in the room and it arrived with all tee amenities such a hospitality ,29,5,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']",134 day,48.2083518,16.354532
Avenida Diagonal 570 Sarri St Gervasi 08021 Barcelona Spain,54,8/17/16,8.6,NH Hesperia Barcelona Presidente, Kazakhstan , Can hear neighbors in the rooms ,8,847, Good location nice breakfast clean rooms nice view from the window supporting stuff always ready to help ,19,2,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",351 day,41.3941338,2.1489569
Avenida Diagonal 596 Sarri St Gervasi 08021 Barcelona Spain,51,7/10/17,8.9,Vincci Mae, Kazakhstan , a bit noisy due to the Avenida Diagonal,9,546, Nice and clean hotel with excellent location,8,8,9.6,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']",24 days,41.3933943,2.1461315
Avenida Roma 22 30 Eixample 08015 Barcelona Spain,61,1/16/17,8.2,H10 Itaca, Kazakhstan ,No Negative,0,732, Staff let us early check in,7,7,7.5,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",199 day,41.3810311,2.1455516
Balmes 117 Eixample 08008 Barcelona Spain,244,7/27/16,9.3,Olivia Balmes Hotel, Kazakhstan , The floor was covered by dust which spooled the first impression in the beginning but then the rooms were cleaned well ,23,1835, The location was perfect for us The location is five minutes of walk from the center ,18,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",372 day,41.392095,2.158493
Bergara 11 Eixample 08002 Barcelona Spain,434,4/8/17,8.6,Catalonia Plaza Catalunya, Kazakhstan , The process of check in is awful Room service is bad one day they just clean the room only after 3 pm The personal is very bad explain free and paid services in hotel so you think that is free and then you have to pay The parking problems I got it s another story Nobody in hotel is resposible for papking service but they are ready to collect money for that in the end I was solving the problem with parking company ,85,4153, Location is very nice ,6,19,6.7,"[' Business trip ', ' Couple ', ' Superior Double or Twin Room with Terrace Spa acces ', ' Stayed 3 nights ']",117 day,41.3865289,2.1682919
Boria 24 26 Ciutat Vella 08003 Barcelona Spain,30,11/19/15,8.6,Mercer House B ria BCN, Kazakhstan , Dust in the corners Clogged sink ,8,301, Good location Rather big sink ,7,2,6.7,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",623 day,41.3846844,2.1791065
